channel x_pos y_pos z_pos
584 -8 -7.0711 -134.35
585 24 -7.0711 -134.35
586 -24 7.0711 -148.49
587 8 7.0711 -148.49
588 -8 21.213 -162.63
589 24 21.213 -162.63
590 -24 35.355 -176.78
591 8 35.355 -176.78
592 -8 49.497 -190.92
593 24 49.497 -190.92
594 -24 63.64 -205.06
595 8 63.64 -205.06
596 -8 77.782 -219.2
597 24 77.782 -219.2
598 -24 91.924 -233.35
599 8 91.924 -233.35
600 -8 106.07 -247.49
601 24 106.07 -247.49
602 -24 120.21 -261.63
603 8 120.21 -261.63
604 -8 134.35 -275.77
605 24 134.35 -275.77
606 -24 148.49 -289.91
607 8 148.49 -289.91
608 -8 162.63 -304.06
609 24 162.63 -304.06
610 -24 176.78 -318.2
611 8 176.78 -318.2
612 -8 190.92 -332.34
613 24 190.92 -332.34
614 -24 205.06 -346.48
615 8 205.06 -346.48
616 -8 219.2 -360.62
617 24 219.2 -360.62
618 -24 233.35 -374.77
619 8 233.35 -374.77
620 -8 247.49 -388.91
621 24 247.49 -388.91
622 -24 261.63 -403.05
623 8 261.63 -403.05
624 -8 275.77 -417.19
625 24 275.77 -417.19
626 -24 289.91 -431.34
627 8 289.91 -431.34
628 -8 304.06 -445.48
629 24 304.06 -445.48
630 -24 318.2 -459.62
631 8 318.2 -459.62
632 -8 332.34 -473.76
633 24 332.34 -473.76
634 -24 346.48 -487.9
635 8 346.48 -487.9
636 -8 360.62 -502.05
637 24 360.62 -502.05
638 -24 374.77 -516.19
639 8 374.77 -516.19
640 -8 388.91 -530.33
641 24 388.91 -530.33
642 -24 403.05 -544.47
643 8 403.05 -544.47
644 -8 417.19 -558.61
645 24 417.19 -558.61
646 -24 431.34 -572.76
647 8 431.34 -572.76
648 -8 445.48 -586.9
649 24 445.48 -586.9
650 -24 459.62 -601.04
651 8 459.62 -601.04
652 -8 473.76 -615.18
653 24 473.76 -615.18
654 -24 487.9 -629.33
655 8 487.9 -629.33
656 -8 502.05 -643.47
657 24 502.05 -643.47
658 -24 516.19 -657.61
659 8 516.19 -657.61
660 -8 530.33 -671.75
661 24 530.33 -671.75
662 -24 544.47 -685.89
663 8 544.47 -685.89
664 -8 558.61 -700.04
665 24 558.61 -700.04
666 -24 572.76 -714.18
667 8 572.76 -714.18
668 -8 586.9 -728.32
669 24 586.9 -728.32
670 -24 601.04 -742.46
671 8 601.04 -742.46
672 -8 615.18 -756.6
673 24 615.18 -756.6
674 -24 629.33 -770.75
675 8 629.33 -770.75
676 -8 643.47 -784.89
677 24 643.47 -784.89
678 -24 657.61 -799.03
679 8 657.61 -799.03
680 -8 671.75 -813.17
681 24 671.75 -813.17
682 -24 685.89 -827.31
683 8 685.89 -827.31
684 -8 700.04 -841.46
685 24 700.04 -841.46
686 -24 714.18 -855.6
687 8 714.18 -855.6
688 -8 728.32 -869.74
689 24 728.32 -869.74
690 -24 742.46 -883.88
691 8 742.46 -883.88
692 -8 756.6 -898.03
693 24 756.6 -898.03
694 -24 770.75 -912.17
695 8 770.75 -912.17
696 -8 784.89 -926.31
697 24 784.89 -926.31
698 -24 799.03 -940.45
699 8 799.03 -940.45
700 -8 813.17 -954.59
701 24 813.17 -954.59
702 -24 827.31 -968.74
703 8 827.31 -968.74
704 -8 841.46 -982.88
705 24 841.46 -982.88
706 -24 855.6 -997.02
707 8 855.6 -997.02
708 -8 869.74 -1011.2
709 24 869.74 -1011.2
710 -24 883.88 -1025.3
711 8 883.88 -1025.3
712 -8 898.03 -1039.4
713 24 898.03 -1039.4
714 -24 912.17 -1053.6
715 8 912.17 -1053.6
716 -8 926.31 -1067.7
717 24 926.31 -1067.7
718 -24 940.45 -1081.9
719 8 940.45 -1081.9
720 -8 954.59 -1096
721 24 954.59 -1096
722 -24 968.74 -1110.2
723 8 968.74 -1110.2
724 -8 982.88 -1124.3
725 24 982.88 -1124.3
726 -24 997.02 -1138.4
727 8 997.02 -1138.4
728 -8 1011.2 -1152.6
729 24 1011.2 -1152.6
730 -24 1025.3 -1166.7
731 8 1025.3 -1166.7
732 -8 1039.4 -1180.9
733 24 1039.4 -1180.9
734 -24 1053.6 -1195
735 8 1053.6 -1195
736 -8 1067.7 -1209.2
737 24 1067.7 -1209.2
738 -24 1081.9 -1223.3
739 8 1081.9 -1223.3
740 -8 1096 -1237.4
741 24 1096 -1237.4
742 -24 1110.2 -1251.6
743 8 1110.2 -1251.6
744 -8 1124.3 -1265.7
745 24 1124.3 -1265.7
746 -24 1138.4 -1279.9
747 8 1138.4 -1279.9
748 -8 1152.6 -1294
749 24 1152.6 -1294
750 -24 1166.7 -1308.1
751 8 1166.7 -1308.1
752 -8 1180.9 -1322.3
753 24 1180.9 -1322.3
754 -24 1195 -1336.4
755 8 1195 -1336.4
756 -8 1209.2 -1350.6
757 24 1209.2 -1350.6
758 -24 1223.3 -1364.7
759 8 1223.3 -1364.7
760 -8 1237.4 -1378.9
761 24 1237.4 -1378.9
762 -24 1251.6 -1393
763 8 1251.6 -1393
764 -8 1265.7 -1407.1
765 24 1265.7 -1407.1
766 -24 1279.9 -1421.3
767 8 1279.9 -1421.3
768 -8 -100 1910
769 24 -100 1910
770 -24 -100 1890
771 8 -100 1890
772 -8 -100 1870
773 24 -100 1870
774 -24 -100 1850
775 8 -100 1850
776 -8 -100 1830
777 24 -100 1830
778 -24 -100 1810
779 8 -100 1810
780 -8 -100 1790
781 24 -100 1790
782 -24 -100 1770
783 8 -100 1770
784 -8 -100 1750
785 24 -100 1750
786 -24 -100 1730
787 8 -100 1730
788 -8 -100 1710
789 24 -100 1710
790 -24 -100 1690
791 8 -100 1690
792 -8 -100 1670
793 24 -100 1670
794 -24 -100 1650
795 8 -100 1650
796 -8 -100 1630
797 24 -100 1630
798 -24 -100 1610
799 8 -100 1610
800 -8 -100 1590
801 24 -100 1590
802 -24 -100 1570
803 8 -100 1570
804 -8 -100 1550
805 24 -100 1550
806 -24 -100 1530
807 8 -100 1530
808 -8 -100 1510
809 24 -100 1510
810 -24 -100 1490
811 8 -100 1490
812 -8 -100 1470
813 24 -100 1470
814 -24 -100 1450
815 8 -100 1450
816 -8 -100 1430
817 24 -100 1430
818 -24 -100 1410
819 8 -100 1410
820 -8 -100 1390
821 24 -100 1390
822 -24 -100 1370
823 8 -100 1370
824 -8 -100 1350
825 24 -100 1350
826 -24 -100 1330
827 8 -100 1330
828 -8 -100 1310
829 24 -100 1310
830 -24 -100 1290
831 8 -100 1290
832 -8 -100 1270
833 24 -100 1270
834 -24 -100 1250
835 8 -100 1250
836 -8 -100 1230
837 24 -100 1230
838 -24 -100 1210
839 8 -100 1210
840 -8 -100 1190
841 24 -100 1190
842 -24 -100 1170
843 8 -100 1170
844 -8 -100 1150
845 24 -100 1150
846 -24 -100 1130
847 8 -100 1130
848 -8 -100 1110
849 24 -100 1110
850 -24 -100 1090
851 8 -100 1090
852 -8 -100 1070
853 24 -100 1070
854 -24 -100 1050
855 8 -100 1050
856 -8 -100 1030
857 24 -100 1030
858 -24 -100 1010
859 8 -100 1010
860 -8 -100 990
861 24 -100 990
862 -24 -100 970
863 8 -100 970
864 -8 -100 950
865 24 -100 950
866 -24 -100 930
867 8 -100 930
868 -8 -100 910
869 24 -100 910
870 -24 -100 890
871 8 -100 890
872 -8 -100 870
873 24 -100 870
874 -24 -100 850
875 8 -100 850
876 -8 -100 830
877 24 -100 830
878 -24 -100 810
879 8 -100 810
880 -8 -100 790
881 24 -100 790
882 -24 -100 770
883 8 -100 770
884 -8 -100 750
885 24 -100 750
886 -24 -100 730
887 8 -100 730
888 -8 -100 710
889 24 -100 710
890 -24 -100 690
891 8 -100 690
892 -8 -100 670
893 24 -100 670
894 -24 -100 650
895 8 -100 650
896 -8 -100 630
897 24 -100 630
898 -24 -100 610
899 8 -100 610
900 -8 -100 590
901 24 -100 590
902 -24 -100 570
903 8 -100 570
904 -8 -100 550
905 24 -100 550
906 -24 -100 530
907 8 -100 530
908 -8 -100 510
909 24 -100 510
910 -24 -100 490
911 8 -100 490
912 -8 -100 470
913 24 -100 470
914 -24 -100 450
915 8 -100 450
916 -8 -100 430
917 24 -100 430
918 -24 -100 410
919 8 -100 410
920 -8 -100 390
921 24 -100 390
922 -24 -100 370
923 8 -100 370
924 -8 -100 350
925 24 -100 350
926 -24 -100 330
927 8 -100 330
928 -8 -100 310
929 24 -100 310
930 -24 -100 290
931 8 -100 290
932 -8 -100 270
